Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Pirates of the Caribbean: Dead Man’…,dead man's chest,2006-07-07,2006,7,588764432,423315812,Adventure,Walt Disney,25,,,,,,,,
Star Wars: The Rise of Skywalker,Rise of Skywalker,2019-12-20,2019,12,515202542,515202542,Adventure,Walt Disney,25,,,,,,,,
Pirates of the Caribbean: The Curse o…,Curse of the Black Pearl,2003-07-09,2003,7,461408382,305410819,Adventure,Walt Disney,25,,,,,,,,
"The Chronicles of Narnia: The Lion, t…","The Lion, the witch and the Wardrobe",2005-12-09,2005,12,412335608,291710957,Adventure,Walt Disney,25,,,,,,,,
Pirates of the Caribbean: At World’…,At world's end,2007-05-24,2007,5,409712211,309420425,Adventure,Walt Disney,25,,,,,,,,
Harry Potter and the Order of the Pho…,Order of the phoenix,2007-07-11,2007,7,386651621,292137260,Adventure,Warner Bros.,25,,,,,,,,
3 Men and a Baby,Three men and a baby,1987-11-25,1987,11,381836094,167780960,Comedy,Walt Disney,23,,,,,,,,
Mission: Impossible 2,Mission Impossible II,2000-05-24,2000,5,364078672,215409889,Action,Paramount Pictures,24,,,,,,,,
X-Men 2,X-Men United,2003-05-02,2003,5,324741574,214949694,Action,20th Century Fox,25,,,,,,,,
Men in Black 2,Men in black II,2002-07-03,2002,7,298574055,190418803,Action,Sony Pictures,25,,,,,,,,
The Hobbit: The Battle of the Five Ar…,The battle of the five armies,2014-12-17,2014,12,283285507,255119788,Adventure,Warner Bros.,25,,,,,,,,
Dumb & Dumber,Dumb and Dumber,1994-12-16,1994,12,275554178,127175374,Comedy,New Line,23,,,,,,,,
Dr. Seuss’ The Grinch,The Grinch,2018-11-09,2018,11,270620950,270620950,Adventure,Universal,25,,,,,,,,
Fast and Furious 6,furious 6,2013-05-24,2013,5,267450606,238679850,Action,Universal,25,,,,,,,,
Doctor Seuss' The Lorax,lorax,2012-03-02,2012,3,244951985,214030500,Adventure,Universal,25,,,,,,,,
Crocodile Dundee 2,Crocodile Dundee II,1988-05-25,1988,5,242282126,109306210,Adventure,Paramount Pictures,23,,,,,,,,
Interview with the Vampire: The Vampi…,Interview with the Vampire The Vampire,1994-11-11,1994,11,234419276,105264608,Horror,Warner Bros.,23,,,,,,,,
Night at the Museum: Battle of the Sm…,Battle of the Smithsonian,2009-05-22,2009,5,215292039,177243721,Adventure,20th Century Fox,25,,,,,,,,
Spider-Man: Into The Spider-Verse 3D,Into The Spider-Verse,2018-12-14,2018,12,190173195,190173195,Adventure,Sony Pictures,25,,,,,,,,
Pirates of the Caribbean: Dead Men Te…,Dead Men Tell No Tales,2017-05-26,2017,5,175252095,172558876,Adventure,Walt Disney,25,,,,,,,,
Fantastic Four: Rise of the Silver Su…,Rise of the Silver Surfer,2007-06-15,2007,6,174681253,131921738,Action,20th Century Fox,25,,,,,,,,
The Naked Gun: From the Files of Poli…,The Naked Gun from the files of police squad,1988-12-02,1988,12,174519960,78041829,Comedy,Paramount Pictures,23,,,,,,,,
Lemony Snicket's A Series of Unfortun…,Lemony Snicket's A Series of Unfortunate Events,2004-12-17,2004,12,172925628,118627117,Adventure,Paramount Pictures,25,,,,,,,,
Disney’s A Christmas Carol,A Christmas Carol,2009-11-06,2009,11,167424190,137855863,Drama,Walt Disney,25,,,,,,,,
Fantastic Beasts: The Crimes of Grind…,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,2018,11,159555902,159555901,Adventure,Warner Bros.,25,,,,,,,,
I Now Pronounce You Chuck and Larry,I now pronounce you,2007-07-20,2007,7,158531582,119725280,Comedy,Universal,25,,,,,,,,
3 Men and a Little Lady,Three men and a little lady,1990-11-21,1990,11,154652645,71609321,Comedy,Walt Disney,23,,,,,,,,
Cheech & Chong's Next Movie,Cheech and Chong's Next Movie,1980-07-18,1980,7,141137923,41675194,Comedy,Universal,22,,,,,,,,
The Divergent Series: Insurgent,Insurgent,2015-03-20,2015,3,140679872,130179072,Action,Lionsgate,25,,,,,,,,
"Legally Blonde 2: Red, White & Blonde",Legally Blonde 2,2003-07-02,2003,7,136935662,90639088,Comedy,MGM,25,,,,,,,,
Spy Kids 2: The Island of Lost Dreams,Spy Kids 2,2002-08-07,2002,8,134590019,85846296,Adventure,Miramax/Dimension,25,,,,,,,,
Artificial Intelligence: AI,Artificial Intelligence,2001-06-29,2001,6,126536752,78616689,Drama,Warner Bros.,25,,,,,,,,
The Hangover 3,The Hangover,2013-05-23,2013,5,125724796,112200072,Comedy,Warner Bros.,25,,,,,,,,
SpongeBob SquarePants: The Movie,SpongeBob SquarePants,2004-11-19,2004,11,125144234,85416609,Adventure,Paramount Pictures,25,,,,,,,,
"Greystoke: The Legend of Tarzan, Lord…","Greystoke The Legend of Tarzan, Lord…",1984-03-30,1984,3,124449105,45900000,Adventure,Warner Bros.,23,,,,,,,,
Mouse Hunt,Mouse Hunt,1997-12-19,1997,12,121922155,61894591,Adventure,Dreamworks SKG,24,,,,,,,,
Cheech & Chong's Nice Dreams,Cheech & Chong's Nice Dreams,1981-06-05,1981,6,121248197,37000000,Comedy,Columbia,23,,,,,,,,
Mamma Mia: Here We Go Again!,Here We Go Again,2018-07-20,2018,7,120634935,120634935,Musical,Universal,25,,,,,,,,
Epic,Epic,2013-05-24,2013,5,120479112,107518682,Adventure,20th Century Fox,25,,,,,,,,
Fantasia 2000 (Theatrical Release),Fantasia 2000,1999-12-31,1999,12,117890205,69610858,Musical,Walt Disney,23,,,,,,,,
AVP: Alien Vs. Predator,Alien Vs Predator,2004-08-13,2004,8,117771456,80281096,Horror,20th Century Fox,25,,,,,,,,
Ford v. Ferrari,Ford v Ferrari,2019-11-15,2019,11,117624357,117624357,Drama,20th Century Fox,25,,,,,,,,
Cowboys and Aliens,Cowboys & Aliens,2011-07-29,2011,7,115303603,100368560,Action,Universal,25,,,,,,,,
High School Musical 3: Senior Year,High School Musical 3,2008-10-24,2008,10,114883841,90559416,Musical,Walt Disney,25,,,,,,,,
Gnomeo and Juliet,Gnomeo & Juliet,2011-02-11,2011,2,114843056,99967670,Comedy,Walt Disney,25,,,,,,,,
Garfield: The Movie,Garfield,2004-06-11,2004,6,110563551,75367693,Adventure,20th Century Fox,25,,,,,,,,
La marche de l'empereur,La marche,2005-06-24,2005,6,110055086,77437223,Documentary,Warner Independent,25,,,,,,,,
A Nightmare on Elm Street 4: The Drea…,A Nightmare on Elm Street 4,1988-08-19,1988,8,109430595,49369899,Horror,New Line,23,,,,,,,,
Stripes,Stripes,1981-06-26,1981,6,279526257,85300000,Comedy,Columbia,23,,68.0,6.9,86%,R,Ivan Reitman,106 min,USA
Mr. and Mrs. Smith,Mr. and Mrs. Smith,2005-06-10,2005,6,264824256,186336279,Action,20th Century Fox,25,,,6.4,,,,,
The Dream is Alive,The Dream is Alive,1985-06-30,1985,6,179633795,70000000,Documentary,IMAX Films,23,,,7.6,,,,,
National Lampoon’s Vacation,National Lampoon’s Vacation,1983-07-29,1983,7,177572694,61400000,Comedy,Warner Bros.,23,,55.0,7.4,93%,R,Harold Ramis,98 min,USA
Another 48 Hrs.,Another 48 Hrs.,1990-06-08,1990,6,172803773,80047413,Action,Paramount Pictures,23,,23.0,5.9,18%,R,Walter Hill,93 min,USA
The Jewel of the Nile,The Jewel of the Nile,1985-12-11,1985,12,172493778,68275764,Adventure,20th Century Fox,23,,53.0,6.1,50%,PG,Lewis Teague,106 min,USA
Dodgeball: A True Underdog Story,Dodgeball A True Underdog Story,2004-06-18,2004,6,167716029,114326736,Comedy,20th Century Fox,25,,,6.3,,,,,
The X Files: Fight the Future,The X Files Fight the Future,1998-06-19,1998,6,162966658,83898313,Action,20th Century Fox,24,,,7.4,,,,,
National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1989-12-01,1989,12,159089825,71319546,Comedy,Warner Bros.,23,,49.0,7.6,66%,PG-13,Jeremiah S. Chechik,97 min,USA
Bird on a Wire,Bird on a Wire,1990-05-18,1990,5,153225044,70978012,Action,Universal,23,,36.0,6.0,32%,PG-13,John Badham,110 min,USA
Uncle Buck,Uncle Buck,1989-08-16,1989,8,152423628,66758538,Comedy,Universal,23,,51.0,7.0,61%,PG,John Hughes,100 min,USA
Spies Like Us,Spies Like Us,1985-12-06,1985,12,151010448,59526202,Adventure,Warner Bros.,23,,22.0,6.4,32%,PG,John Landis,102 min,USA
Grand Canyon: The Hidden Secrets,Grand Canyon The Hidden Secrets,1984-06-16,1984,6,143157136,52800000,Documentary,,23,,,6.7,,,,,
Firefox,Firefox,1982-06-18,1982,6,141873437,45785720,Action,Warner Bros.,23,,44.0,6.0,38%,PG,Clint Eastwood,136 min,USA
The Living Sea,The Living Sea,1995-02-01,1995,2,135707580,64800000,Documentary,IMAX Films,24,,,7.2,,,,,
Dragnet,Dragnet,1987-06-26,1987,6,133707306,57387000,Comedy,Universal,23,,62.0,6.0,51%,PG-13,Tom Mankiewicz,106 min,USA
HouseSitter,HouseSitter,1992-06-12,1992,6,128419461,58500635,Comedy,Universal,23,,,6.1,37%,PG,Frank Oz,102 min,USA
Blade 2,Blade 2,2002-03-22,2002,3,128068234,81676888,Action,New Line,25,,,6.5,,,,,
Forever Young,Forever Young,1992-12-11,1992,12,122893117,55942530,Drama,Warner Bros.,23,,,6.3,57%,PG,Steve Miner,102 min,USA
Blue Streak,Blue Streak,1999-09-17,1999,9,122272070,68208190,Action,Sony Pictures,23,,46.0,6.3,36%,PG-13,Les Mayfield,93 min,"Germany, USA"
To the Limit,To the Limit,1989-11-15,1989,11,121010025,53000000,Documentary,,23,,,3.1,,,,,
"10,000 B.C.","10,000 B.C.",2008-03-07,2008,3,120262404,94784201,Adventure,Warner Bros.,25,,34.0,5.1,8%,PG-13,Roland Emmerich,109 min,"USA, South Africa"
Doc Hollywood,Doc Hollywood,1991-08-02,1991,8,118477126,54751779,Romantic Comedy,Warner Bros.,23,,56.0,6.2,68%,PG-13,Michael Caton-Jones,104 min,USA
Eddie Murphy Raw,Eddie Murphy Raw,1987-12-18,1987,12,116256199,50504655,Concert/Performance,Paramount Pictures,23,,54.0,7.7,81%,R,Robert Townsend,93 min,USA
Taps,Taps,1981-12-09,1981,12,113755859,35856053,Drama,20th Century Fox,23,,49.0,6.8,68%,PG,Harold Becker,126 min,USA
Friday the 13th Part 3,Friday the 13th Part 3,1982-08-13,1982,8,113689284,36690067,Horror,Paramount Pictures,23,,,7.1,,,,,
Revenge of the Nerds,Revenge of the Nerds,1984-07-20,1984,7,110823287,40874452,Comedy,20th Century Fox,23,,44.0,6.6,70%,R,Jeff Kanew,90 min,USA
